STEP ACCRATIO <dR> <dR2> <ENERGY>
0 0 0.417794 0.174552 2.45924
100 0.267327 0.0463347 0.0126985 0.231767
200 0.278607 0.02405 0.00652384 0.122173
300 0.30897 0.0172535 0.00450291 0.0872478
400 0.301746 0.0147675 0.00343055 0.0674186
500 0.301397 0.0114526 0.00278404 0.0554692
600 0.306156 0.0095555 0.00238036 0.0486293
700 0.319544 0.00894911 0.00210006 0.0439837
800 0.315855 0.00765856 0.0018721 0.0398769
900 0.308546 0.00658598 0.00169188 0.0365848
1000 0.310689 0.00542907 0.00154148 0.0337211
1100 0.302452 0.00468107 0.00142387 0.0315785
1200 0.29975 0.00394187 0.00134365 0.0305749
1300 0.29362 0.00391825 0.00125512 0.0288019
1400 0.291934 0.00423886 0.00118519 0.0274907
1500 0.287808 0.00398539 0.00112533 0.0264206
1600 0.28732 0.00398056 0.00107049 0.0253902
1700 0.285126 0.00379131 0.00101785 0.0243164
1800 0.287618 0.00344141 0.000983471 0.0238281
1900 0.286165 0.00322299 0.000948834 0.0232563
2000 0.285857 0.002559 0.000929094 0.0232565
2100 0.287482 0.00236286 0.000910189 0.023176
2200 0.285779 0.00213055 0.000880348 0.0226006
2300 0.284224 0.00208363 0.000852111 0.0220086
2400 0.283215 0.00190179 0.000832439 0.0217359
2500 0.279088 0.00182121 0.000809158 0.0212652
2600 0.279892 0.00181049 0.000788409 0.0208718
2700 0.278786 0.00157827 0.000769121 0.0205067
2800 0.279186 0.00141866 0.000758908 0.020452
2900 0.276801 0.00133433 0.000737745 0.0199527
3000 0.277241 0.00123405 0.000720071 0.0195735
3100 0.27604 0.00131295 0.000710261 0.0194746
3200 0.276476 0.00124996 0.000695835 0.0191797
3300 0.275674 0.00138571 0.000684788 0.018998
3400 0.280506 0.00154626 0.000674218 0.0188026
3500 0.281063 0.00175436 0.00066609 0.0186799
3600 0.280755 0.00164847 0.000656903 0.0185519
3700 0.278844 0.00160906 0.000641585 0.0181489
3800 0.278085 0.00159983 0.000633207 0.0180045
3900 0.277621 0.00170736 0.000626906 0.0179288
4000 0.276681 0.0017042 0.000617696 0.0177401
4100 0.278225 0.00162372 0.000614844 0.0177861
4200 0.278029 0.00149571 0.000609428 0.0177414
4300 0.27761 0.0013954 0.000602671 0.0176245
4400 0.276755 0.00125502 0.000597714 0.0175784
4500 0.27505 0.00124545 0.000588764 0.0173656
4600 0.275592 0.00118975 0.000584412 0.0173229
4700 0.275899 0.00118448 0.000579872 0.0172657
4800 0.27765 0.00115865 0.000575073 0.0172002
4900 0.276678 0.00109748 0.000567132 0.0170019
5000 0.276145 0.00117832 0.000563323 0.0169458
5100 0.276416 0.00123293 0.000557556 0.0168168
5200 0.277062 0.00115048 0.000553453 0.0167666
5300 0.277118 0.00102878 0.000548405 0.0166788
5400 0.278467 0.00101595 0.000545053 0.0166465
5500 0.277949 0.00095446 0.000539242 0.0165087
5600 0.276022 0.000919229 0.000531935 0.0163139
5700 0.274513 0.000987542 0.000526 0.0161634
5800 0.275125 0.000940064 0.000524302 0.016187
5900 0.27436 0.00102412 0.00051987 0.016078
6000 0.274788 0.000973076 0.000514808 0.0159595
6100 0.274545 0.00100551 0.0005114 0.0158912
6200 0.274794 0.000971672 0.000510462 0.0159326
6300 0.27694 0.000997656 0.000508839 0.0159353
6400 0.276363 0.0010006 0.000506073 0.01589
