STEP ACCRATIO <dR> <dR2> <ENERGY>
0 1 -0.301372 0.090825 3.23717
1 1 -0.29702 0.0882399 3.14503
2 0.666667 -0.29557 0.0873782 3.11432
3 0.75 -0.278952 0.0786551 2.80341
4 0.6 -0.268981 0.0734212 2.61687
5 0.5 -0.262334 0.0699319 2.4925
6 0.428571 -0.257586 0.0674396 2.40367
7 0.375 -0.254025 0.0655704 2.33705
8 0.444444 -0.244891 0.0615652 2.1943
9 0.4 -0.237585 0.058361 2.08009
10 0.363636 -0.231606 0.0557395 1.98666
11 0.333333 -0.226625 0.0535548 1.90879
12 0.384615 -0.220935 0.051228 1.82586
13 0.357143 -0.216059 0.0492335 1.75477
14 0.4 -0.209095 0.0467818 1.66739
15 0.375 -0.203003 0.0446365 1.59093
16 0.411765 -0.192942 0.0420709 1.49949
17 0.388889 -0.183999 0.0397904 1.4182
18 0.368421 -0.175997 0.03775 1.34548
19 0.4 -0.169231 0.0359452 1.28115
20 0.428571 -0.159466 0.0342947 1.22233
21 0.454545 -0.151416 0.03275 1.16727
22 0.434783 -0.144067 0.0313396 1.117
23 0.416667 -0.13733 0.0300467 1.07092
24 0.4 -0.131132 0.0288573 1.02853
25 0.384615 -0.12541 0.0277593 0.989393
26 0.407407 -0.120776 0.0267312 0.952748
27 0.392857 -0.116473 0.0257765 0.918722
28 0.413793 -0.112628 0.0248885 0.887072
29 0.433333 -0.108985 0.0240593 0.857516
30 0.419355 -0.105576 0.0232835 0.829867
31 0.40625 -0.102381 0.0225563 0.803946
32 0.424242 -0.0989951 0.0218754 0.779679
33 0.411765 -0.0958084 0.0212346 0.756839
34 0.4 -0.0928037 0.0206304 0.735304
35 0.416667 -0.0899111 0.0200609 0.715006
36 0.405405 -0.0871749 0.0195221 0.695805
37 0.394737 -0.0845826 0.0190118 0.677615
38 0.410256 -0.0822311 0.0185256 0.660286
39 0.4 -0.0799972 0.0180637 0.643824
40 0.414634 -0.0778532 0.0176247 0.628176
41 0.404762 -0.0758113 0.0172065 0.613272
42 0.395349 -0.0738644 0.0168078 0.599062
43 0.386364 -0.072006 0.0164273 0.585497
44 0.377778 -0.0702302 0.0160636 0.572536
45 0.369565 -0.0685316 0.0157157 0.560138
46 0.361702 -0.0669052 0.0153827 0.548267
47 0.354167 -0.0653466 0.0150635 0.536892
48 0.367347 -0.0634209 0.0147733 0.526547
49 0.36 -0.0615722 0.0144947 0.516616
50 0.352941 -0.0597959 0.014227 0.507075
51 0.365385 -0.0581283 0.0139673 0.49782
52 0.358491 -0.0565235 0.0137174 0.488915
53 0.37037 -0.0552924 0.0134653 0.479926
54 0.363636 -0.054106 0.0132222 0.471265
55 0.357143 -0.052962 0.0129879 0.462912
56 0.368421 -0.0517265 0.0127654 0.454982
57 0.362069 -0.0505336 0.0125506 0.447325
58 0.372881 -0.0498504 0.0123396 0.439806
59 0.383333 -0.0491405 0.0121348 0.432507
60 0.377049 -0.0484538 0.0119368 0.425448
61 0.370968 -0.0477893 0.0117451 0.418616
62 0.380952 -0.0468991 0.0115597 0.41201
63 0.390625 -0.0458021 0.0113876 0.405875
64 0.384615 -0.0447389 0.0112208 0.399928
65 0.393939 -0.0441297 0.0110511 0.39388
66 0.38806 -0.0435387 0.0108864 0.388012
67 0.382353 -0.042965 0.0107266 0.382317
68 0.376812 -0.042408 0.0105715 0.376787
69 0.385714 -0.0416116 0.010423 0.371494
70 0.394366 -0.0411311 0.010277 0.36629
71 0.388889 -0.040664 0.010135 0.361231
72 0.383562 -0.0402097 0.00999696 0.35631
73 0.378378 -0.0397676 0.00986263 0.351522
74 0.373333 -0.0393374 0.00973188 0.346862
75 0.381579 -0.0385 0.0096116 0.342575
76 0.376623 -0.0376843 0.00949445 0.338399
77 0.384615 -0.0371631 0.00937284 0.334065
78 0.379747 -0.0366551 0.0092543 0.32984
79 0.375 -0.0361598 0.00913874 0.325721
80 0.37037 -0.0356768 0.00902602 0.321704
81 0.378049 -0.0352109 0.00891602 0.317783
82 0.373494 -0.0347562 0.00880868 0.313957
83 0.369048 -0.0343124 0.00870389 0.310222
84 0.364706 -0.0338791 0.00860157 0.306575
85 0.360465 -0.0334558 0.00850162 0.303013
86 0.356322 -0.0330422 0.00840398 0.299533
87 0.352273 -0.032638 0.00830855 0.296132
88 0.348315 -0.0322429 0.00821527 0.292807
89 0.344444 -0.0318566 0.00812406 0.289556
90 0.340659 -0.0314788 0.00803485 0.286377
91 0.336957 -0.0311092 0.00794758 0.283266
92 0.344086 -0.0305237 0.00786798 0.280429
93 0.351064 -0.0301769 0.00778433 0.277448
94 0.347368 -0.0298373 0.00770243 0.274529
95 0.34375 -0.0295048 0.00762224 0.271671
96 0.340206 -0.0291792 0.00754371 0.268872
